word,partOfSpeech,IPA,meaning,example,exampleForQuiz
cat,noun,/kæt/,con mèo,The cat is sleeping on the sofa.,The ____ is sleeping on the sofa.
dog,noun,/dɒɡ/,con chó,My dog loves to play in the garden.,My ____ loves to play in the garden.
lion,noun,/ˈlaɪ.ən/,sư tử,The lion is known as the king of the jungle.,The ____ is known as the king of the jungle.
elephant,noun,/ˈɛl.ɪ.fənt/,con voi,An elephant has a long trunk.,An ____ has a long trunk.
tiger,noun,/ˈtaɪ.ɡər/,con hổ,The tiger is a strong animal.,The ____ is a strong animal.
bear,noun,/beər/,con gấu,A bear can run very fast.,A ____ can run very fast.
monkey,noun,/ˈmʌŋ.ki/,con khỉ,Monkeys like to eat bananas.,____ like to eat bananas.
rabbit,noun,/ˈræb.ɪt/,con thỏ,The rabbit is white and fluffy.,The ____ is white and fluffy.
wolf,noun,/wʊlf/,con sói,A wolf lives in the forest.,A ____ lives in the forest.
fox,noun,/fɒks/,con cáo,The fox has a bushy tail.,The ____ has a bushy tail.
