word,partOfSpeech,IPA,meaning,example,exampleForQuiz
accuracy,noun,/ˈækjərəsi/,độ chính xác,This plan requires extremeaccuracy.,This plan requires extreme________.
clarify,verb,/ˈklɛrəˌfaɪ/,làm rõ,You shouldclarifythe situation.,You should________the situation.
communicate,verb,/kəmˈjunəˌkeɪt/,"giao tiếp, liên lạc",Ancient people used pigeons tocommunicatewith people far away.,Ancient people used pigeons to____________with people far away.
communication,noun,/kəmˌjunəˈkeɪʃən/,"sự giao tiếp, liên lạc",Means ofcommunication,Means of_____________
comprehend,verb,/ˌkɑmpriˈhɛnd/,hiểu thấu,It’s hard tocomprehendwhy she divorced her rich husband.,It’s hard to___________why she divorced her rich husband.
concept,noun,/ˈkɑnsɛpt/,khái niệm,I don’t grasp some of the artisticconcepts..,I don’t grasp some of the artistic________..
conclude,verb,/kənˈklud/,kết luận ,Heconcludesthe essay with a question mark.,He__________the essay with a question mark.
confirm,verb,/kənˈfɜrm/,xác nhận,Witnessesconfirmedseeing you here last night.,Witnesses__________seeing you here last night.
conjecture,"n, v",/kənˈʤɛkʧər/,phỏng đoán,His thoughts are justconjectures.,His thoughts are just____________
converse,verb,/kənˈvɜrs/,trò chuyện,You can’tconversewith someone who doesn’t know how to listen.,You can’t_________with someone who doesn’t know how to listen.
define,verb,/dɪˈfaɪn/,định nghĩa,Define“fun”!,_______“fun”!
demonstrate,verb,/ˈdɛmənˌstreɪt/,chứng minh,All the evidencedemonstratedhe is not the killer.,All the evidence_____________he is not the killer.
emerge,verb,/ɪˈmɜrʤ/,"nổi lên, nhô lên, lộ ra",There was no new informationemergedduring the interrogation.,There was no new information________during the interrogation.
explain,"n, v",/ɪkˈspleɪn/,giải thích,I don’t want to hear anexplainfrom you!,I don’t want to hear an________from you!
express,verb,/ɪkˈsprɛs/,"bày tỏ, thể hiện",I want toexpressmy feelings.,I want to________my feelings.
fluency,noun,/ˈfluənsi/,"sự trôi chảy, lưu loát",Fluencyin communication,________in communication
gesture,noun,/ˈʤɛsʧər/,cử chỉ,Don’t forgetgestureswhile communicating!,Don’t forget_________while communicating!
gesture,verb,/ˈʤɛsʧər/,ra hiệu (bằng tay),The traffic policegestureto me to stop the car.,The traffic police________to me to stop the car.
have a say in something,idiom,–,có quyền nói vào việc gì đó,This is my job. Don’t you think Ihave a say in it?,This is my job. Don’t you think I_________________
having said that,idiom,–,"dù đã nói vậy, dù vậy (thêm một ý tích cực hơn ý đằng trước)","She doesn’t stand out very much.Having said that, the skin is very bright.","She doesn’t stand out very much.________________, the skin is very bright."
