word,partOfSpeech,IPA,meaning,example,exampleForQuiz
abstract,adjective,/ˈæbstrækt/,trừu tượng,Abstractpainting ideas,_________painting ideas
accomplished,adjective,/əˈkɑmplɪʃt/,thành thạo,He is veryaccomplishedin coloring.,He is very_____________in coloring.
actor,noun,/ˈæktər/,nam diễn viên,His dream is to become anactor.,His dream is to become an______
actress,noun,/ˈæktrəs/,nữ diễn viên,My favoriteactressis Anne Hathaway.,My favorite________is Anne Hathaway.
aesthetic,adjective,/ɛˈsθɛtɪk/,mang tính thẩm mỹ,The house is highlyaesthetic,The house is highly_________
aesthetics,noun,/ɛˈsθɛtɪks/,"thẩm mỹ, mỹ học",Aestheticsof Greek architecture.,___________of Greek architecture.
appreciation,noun,/əˌpriʃiˈeɪʃən/,sự cảm kíchsự đánh giá cao,Her acting skills receivedappreciationfrom experts.,Her acting skills received_____________from experts.
artefact/ artifact,noun,/artefact/ ˈɑrtəˌfækt/,hiện vật,Archaeologicalartifacts,Archaeological_________
artist,noun,/ˈɑrtəst/,"nghệ sĩ (ngành hội họa, điêu khắc)",He’s anartistin making masks.,He’s an_______in making masks.
atmosphere,noun,/ˈætməˌsfɪr/,bầu không khí,Theatmosphereof the concert was exciting.,The___________of the concert was exciting.
audience,noun,/ˈɑdiəns/,khán giả (tại chỗ),A crowd ofaudiencesflooded the auditorium.,A crowd of__________flooded the auditorium.
ballerina,noun,/ˌbæləˈrinə/,vũ công ba-le,Becoming aballerinarequires perseverance and overcoming difficulties.,Becoming a__________requires perseverance and overcoming difficulties.
ballet,noun,/bæˈleɪ/,vở múa ba-le,There’s going to be aballetperformance at the city theatre.,There’s going to be a_______performance at the city theatre.
burgeoning,adjective,/ˈbɜrʤənɪŋ/,nảy nở,Aburgeoningtalent,A___________talent
carving,noun,/ˈkɑrvɪŋ/,Kỹ thuật chạm khắc,Woodencarvings,Wooden________
choreograph,verb,/ˈkɔriəˌɡræf/,biên đạo,The ballet waschoreographedby an anonymous lady.,The ballet was______________by an anonymous lady.
classic,adjective,/ˈklæsɪk/,cổ điển,The Little Match Girl is one of Andersen’sclassicfairy tales.,The Little Match Girl is one of Andersen’s________fairy tales.
conception,noun,/kənˈsɛpʃən/,ý niệm,Writers have uniqueconceptionsabout life.,Writers have unique____________about life.
concert,noun,/ˈkɑnsɜrt/,buổi hòa nhạc,Taylor Swift’sconcertattracts millions of people.,Taylor Swift’s________attracts millions of people.
crafts,noun,/kræfts/,nghề thủ côngngười lành nghề,Thecraftsof pottery making,The_______of pottery making
creation,noun,/kriˈeɪʃən/,sức sáng tạo,Humancreativityis limitless.,Human___________is limitless.
culture,noun,/ˈkʌlʧər/,nền văn hóa,The Dong Son bronze drum is a typical drum for the Dong SonCultureof the ancient Vietnamese.,The Dong Son bronze drum is a typical drum for the Dong Son________of the ancient Vietnamese.
depict,verb,/dɪˈpɪkt/,mô tả,Hedepictedthe village scene vividly in just 2 sentences.,He_________the village scene vividly in just 2 sentences.
distracting,adjective,/dɪˈstræktɪŋ/,gây xao lãng,Please turn down the volume – it’s very distracting.,Please turn down the volume – it’s very distracting.
eclectic,adjective,/ɪˈklɛktɪk,trung hòa,Aneclecticcuisine,An_________cuisine
electric,adjective,/ɪˈlɛktrɪk/,sôi động,Anelectricmusic performance,An_________music performance
emotion,noun,/ɪˈmoʊʃən/,cảm xúc,A literary work filled withemotions,A literary work filled with________
enrich,verb,/ɛnˈrɪʧ/,làm phong phú,Listening to musicenrichesthe inner world,Listening to music_________the inner world
exhibition,noun,/ˌɛksəˈbɪʃən/,triển lãm tranh,An artexhibition,An art__________
