word,partOfSpeech,IPA,meaning,example,exampleForQuiz
accommodate,verb,/əˈkɑməˌdeɪt/,điều chỉnh,Family is a miniature society. Each person needs toaccommodatethemselves to live in harmony.,Family is a miniature society. Each person needs to___________themselves to live in harmony.
active role,noun,/ˈæktɪv roʊl/,vai trò tích cực,My grandmother plays a veryactive rolein my life.,My grandmother plays a very___________in my life.
adolescence,noun,/ˌædəˈlɛsəns/,tuổi thiếu niên,Adolescenceis the most rebellious period for young people.,____________is the most rebellious period for young people.
adopt,verb,/əˈdɑpt/,nhận nuôi,He wasadopted5 years ago.,He was________5 years ago.
adulthood,noun,/əˈdʌltˌhʊd/,tuổi trưởng thành,"Inadulthood, most people prefer a stable job.","In_________, most people prefer a stable job."
alike,adjective,/əˈlaɪk/,giống,They all lookalike.,They all look_____.
asset,noun,/ˈæˌsɛt/,"tài sản, thứ quý giá",She’ll be a greatassetto our team.,She’ll be a great______to our team.
authoritarian,adjective,/əˌθɔrəˈtɛriən/,"độc đoán, gia trưởng",Anauthoritarianfather cannot raise children well.,An______________father cannot raise children well.
bittersweet,adjective,/ˈbɪtərˌswit/,buồn vui lẫn lộn,The day I left my home to the city wasbittersweet.,The day I left my home to the city was____________
bond,noun,/bɑnd/,"sự ràng buộc, liên kết",Bondof relationships,_____of relationships
break down,verb,/breɪk daʊn/,"sự rạn nứt, sự thất bại",Living with him before marriage is abreak downto our relationship.,Living with him before marriage is a__________to our relationship.
brotherhood,noun,/ˈbrʌðərˌhʊd/,tình anh em,The cup of wine symbolizes theirbrotherhood.,The cup of wine symbolizes their___________.
child neglect,noun,/ʧaɪld nəˈɡlɛkt/,sự bỏ bê con cái,There is a volunteer home that specializes in adoptingneglected children.,There is a volunteer home that specializes in adopting___________________
conflict,noun,/ˈkɑnflɪkt/,mâu thuẫn,Familyconflict,Family________
connection,noun,/kəˈnɛkʃən/,sự gắn kết,Theconnectionbetween education and family is well known.,The___________between education and family is well known.
develop,verb,/dɪˈvɛləp/,phát triển,Developrelationships,_______relationships
endure,verb,/ɛnˈdjʊr/,chịu đựng,I can’tendurehim anymore!,I can’t______him anymore!
establish,verb,/ɪˈstæblɪʃ/,củng cố,Our relationship has beenestablishedby the new house.,Our relationship has been___________by the new house.
extended family,noun,/ɪkˈstɛndɪd ˈfæməli/,"gia đình đa hệ, đại gia đình",Extended familiesare no longer common today in Vietnam.,_________________are no longer common today in Vietnam.
