word,partOfSpeech,IPA,meaning,example,exampleForQuiz
access,verb,/ˈækˌsɛs/,truy cập,Accessthe Internet network,_______the Internet network
advanced,adjective,/ədˈvænst/,"cao cấp, cấp tiến",Advancedbathroom systems,_________bathroom systems
artificial intelligence (AI),noun,/ˌɑrtəˈfɪʃəl ɪnˈtɛləʤəns/,trí tuệ nhân tạo,Artificial intelligencemay cause the job market to shrink in the future.,_______________________may cause the job market to shrink in the future.
automatically,adverb,/ˌɔtəˈmætɪkli/,(một cách) tự động,The plane flysautomatically!,The plane flys_____________!
automatic pilot/ autopilot,noun,/ˌɔtəˈmætɪk ˈpaɪlət/ ˈɔtoʊˌpaɪlət/,phi công tự động,Does this plane have anautomatic pilotmode?,Does this plane have an_______________mode?
compact,adjective,/ˈkɑmpækt/,nhỏ gọn,Acompactcamera,A________camera
computerisation,noun,/kəmˌpjutərɪˈzeɪʃən/,"tin học hóa, máy tính hóa",Computerisationis gradually penetrating every aspect of life.,________________is gradually penetrating every aspect of life.
computerised,adjective,/kəmˈpjutəˌraɪzd/,vi tính hóa,Computerisedsystem,_____________system
connect,verb,/kəˈnɛkt/,kết nối,The Wifi isconnected.,The Wifi is_________.
connection,noun,/kəˈnɛkʃən/,sự kết nối,People easily loseconnectionin the crowd.,People easily lose___________in the crowd.
cutting-edge,adjective,/ˈkʌtɪŋ-ɛʤ/,tối tân,They own the mostcutting-edgesubmarines today.,They own the most____________submarines today.
cyber,adjective,/ˈsaɪbər/,(thuộc) không gian mạng,Cybercriminals,_____criminals
data,noun,/ˈdeɪtə/,dữ liệu,Dataprocessing,_____processing
dated,adjective,/ˈdeɪtɪd/,"cũ, lỗi thời",Iphone 6 is nowdated.,Iphone 6 is now_____.
device,noun,/dɪˈvaɪs/,thiết bị,Every home has some technologicaldevices.,Every home has some technological_______.
digital,adjective,/ˈdɪʤətəl/,"(thuộc) điện tử, kỹ thuật số",Digitalwatch,________watch
display,"v, n",/dɪˈspleɪ/,hiển thị/ trưng bày,The files aredisplayedon the screen..,The files are__________on the screen..
download,verb,/ˈdaʊnˌloʊd/,tải về,Downloadthe file,_________the file
envisage,verb,/ɛnˈvɪzɪʤ/,"hình dung, tưởng tượng",It’senvisagedthat the train will run at the end of this year.,It’s__________that the train will run at the end of this year.
function,noun,/ˈfʌŋkʃən/,chức năng,The mainfunctionof an electric fan is to create wind.,The main_________of an electric fan is to create wind.
gadget,noun,/ˈɡæʤət/,"công cụ, tiện ích",Cargadgets,Car________
innovation,noun,/ˌɪnəˈveɪʃən/,"sự đổi mới, cách tân",Innovationin technology,___________in technology
keyboard,noun,/ˈkiˌbɔrd/,bàn phím,Keyboardused to input data.,_________used to input data.
keypad,noun,/ˈkiˌpæd/,bàn phím cầm tay,Keypadis an input device that can be carried around.,_______is an input device that can be carried around.
labour-saving,adjective,/ˈleɪˌbaʊr-ˈseɪvɪŋ/,có tính tiết kiệm lao động,Labour-savingtechnology,_____________technology
laptop,noun,/ˈlæpˌtɑp/,máy tính xách tay,College students should own alaptop.,College students should own a______.
memory,noun,/ˈmɛməri/,bộ nhớ,The computer has a largememory.,The computer has a large______.
monitor,noun,/ˈmɑnətər/,"máy chủ, màn hình",A televisionmonitor,A television_______
multimedia,adjective,/ˌmʌltiˈmidiə/,đa phương tiện,Multimediacontent,___________content
patent,noun,/ˈpætənt/,bằng sáng chế,The research institute has filed apatentfor the new device.,The research institute has filed a_______for the new device.
portable,adjective,/ˈpɔrtəbəl/,có thể mang đi,Aportablephone,A_________phone
program,noun,/ˈproʊˌɡræm/,chương trình,“Program” might be an information technology term.,“_______” might be an information technology term.
prototype,noun,/ˈproʊtəˌtaɪp/,nguyên mẫu (bản đầu tiên),A carprototype,A car_________
remote control,noun,/rɪˈmoʊt kənˈtroʊl/,điều khiển,You need to use theremoteto change channels.,You need to use the_______to change channels.
revolutionise,verb,/ˌrev.əˈluː.ʃən.aɪz/,cách mạng hóa,Revolutioniseinformation technology,______________information technology
scroll,verb,/skroʊl/,"cuộn tròn, lăn",Scrollthe mouse!,_______the mouse!
silicon chip,noun,/ˈsɪləkən ʧɪp/,con chip si-li-côn,Powerfulsilicon chipline,Powerful____________line
speculate,verb,/ˈspɛkjəˌleɪt/,"suy đoán, đồn",The newspapers havespeculatedthat the company will go bankrupt.,The newspapers have___________that the company will go bankrupt.
state-of-the-art,adjective,/steɪt-ʌv-ði-ɑrt/,tân tiến nhất,Xiaomi is one of the moststate-of-the-artsmartphones.,Xiaomi is one of the most_________________smartphones.
store,verb,/stɔr/,"chứa, lưu trữ",Memorystoresall input data,Memory_______all input data
surpass,verb,/sərˈpæs/,"hơn, vượt",Hesurpassesme in dancing skill.,He__________me in dancing skill.
technology,noun,/tɛkˈnɑləʤi/,công nghệ,Don’t depend too much ontechnology.,Don’t depend too much on___________
telecommunications,noun,/ˌtɛləkəmˌjunəˈkeɪʃənz/,viễn thông,Thetelecommunicationsnetwork in Vietnam is quite developed.,The___________________network in Vietnam is quite developed.
the Internet,noun,/ði ˈɪntərˌnɛt/,mạng In-tơ-nét,The Internetis a telecommunications system that connects computers around the world.,____________is a telecommunications system that connects computers around the world.
the latest (version),noun,/ðə ˈleɪtəst (ˈvɜrʒən),phiên bản mới nhất,Apple is preparing to launchthe latest versionof the iPhone.,Apple is preparing to launch__________________of the iPhone.
up-to-date,adjective,/ʌp-tu-deɪt/,"hiện đại, có tính cập nhật",Up-to-dateinformation,__________information
user-friendly,adjective,/ˈjuzər-ˈfrɛndli/,thân hiện với người dùng,Auser-friendlysoftware,A_____________software
virtual,adjective,/ˈvɜrʧuəl/,"ảo, không có thật",Virtualreality world,________reality world
vision,noun,/ˈvɪʒən/,tầm nhìn,Lack ofvisionin economic policy,Lack of_______in economic policy
wireless connection,noun,/ˈwaɪrlɪs kəˈnɛkʃən/,kết nối không dây,Most people usewireless connectionheadphones..,Most people use_____________________headphones..
wifi hotspot,noun,/ˈwaɪ.faɪ ˈhɑːt.spɑːt/,điểm phát wifi,Wifihotspotsare increasing day by day.,Wifi_________are increasing day by day.
