word,partOfSpeech,IPA,meaning,example,exampleForQuiz
acute,adjective,/əˈkjut/,"nghiêm trọng, cấp tính",Acutearthritis,______arthritis
allergic,adjective,/əˈlɜrʤɪk/,bị dị ứng,I’mallergicto peanuts..,I’m_________to peanuts..
allergy,noun,/ˈælərʤi/,dị ứng,Do you have anyallergies?,Do you have any_________?
alternate,adjective,/ˈɔltɜrnət/,xen kẽ,A delicious cake withalternatelayers of cream and chiffon.,A delicious cake with__________layers of cream and chiffon.
anxiety,noun,/æŋˈzaɪəti/,"sự lo lắng, bất an",Children normally feelanxietyabout their first day at school.,Children normally feel________about their first day at school.
appetite,noun,/ˈæpəˌtaɪt/,sự thèm ăn,All those cardio exercises give me anappetite.,All those cardio exercises give me an________.
artery,noun,/ˈɑrtəri/,động mạch,Arteryis a part of your circulatory system,_______is a part of your circulatory system
benefit,"n, v",/ˈbɛnəfɪt/,"lợi ích, có lợi",That day off wasn’t of muchbenefitto me.,That day off wasn’t of much________to me.
blood flow,noun,/blʌd floʊ/,lưu lượng máu,Effective way to improveblood flowto the body.,Effective way to improve__________to the body.
brisk,adjective,/brɪsk/,"nhanh, mạnh",Abriskwalk,A______walk
chronic,adjective,/ˈkrɑnɪk/,mãn tính,Chronicdisease,________disease
counteract,verb,/ˈkaʊntəˌrækt/,"kháng lại, chống lại",Drinking a lot of watercounteractsthe dehydration.,Drinking a lot of water____________the dehydration.
craving,noun,/ˈkreɪvɪŋ/,"cảm giác khao khát, thèm muốn",She has acravingfor chicken.,She has a________for chicken.
curb,verb,/kɜrb/,kiềm chế,You shouldcurbon eating fatty foods.,You should_____on eating fatty foods.
depression,noun,/dɪˈprɛʃən/,sự thất vọng,"If you’re suffering fromdepression, you better go to a psychologist.","If you’re suffering from__________, you better go to a psychologist."
diagnosis,noun,/ˌdaɪəɡˈnoʊsəs/,sự chẩn đoán,“What’s thediagnosis?” “Angiosarcoma”,“What’s the_________?” “Angiosarcoma”
diminish,verb,/dɪˈmɪnɪʃ/,"làm giảm bớt, mờ nhạt dần",The illness is graduallydiminishing.,The illness is gradually___________.
do exercise,verb,/du ˈɛksərˌsaɪz/,tập thể dục,My fatherdoes exercisesevery morning.,My father______________every morning.
eating disorder,noun,/ˈitɪŋ dɪˈsɔrdər/,rối loạn ăn uống,"Whenever she’s bored,she eats a lot. She may have aneating disorder.","Whenever she’s bored,she eats a lot. She may have an_______________."
