word,partOfSpeech,IPA,meaning,example,exampleForQuiz
asymptomatic,adjective,/ˌeɪˌsɪmptəˈmætɪk/,không có triệu chứng,He didn’t receive the ideal patient care after he had been infected with the virus because he wasasymptomatic.,He didn’t receive the ideal patient care after he had been infected with the virus because he was_____________
community spread,noun,/kəmˈjunəti sprɛd/,lây lan cộng đồng,Viruses have a highlycommunity spread..,Viruses have a highly_________________.
contagious,adjective,/kənˈteɪʤəs/,lây lan,"The nature of the disease iscontagious, so social distancing is essential.","The nature of the disease is__________, so social distancing is essential."
cough,"v, n",/kɑf/,hocơn ho,The most noticeable sign of covid-19 patients is persistentcoughs.,The most noticeable sign of covid-19 patients is persistent______.
Covid-19 (CoronaVirus Disease of 2019),noun,/ˈkoʊvɪd-19 /,Bệnh cúm vi-rút cô-rô-na năm 2019,There are many patients who did not survive thecovid-19pandemic.,There are many patients who did not survive the________pandemic.
diagnosis,noun,/ˌdaɪəɡˈnoʊsəs/,sự chẩn đoán,Diagnosisfor covid-19 was ambiguous due to the significant lack of knowledge regarding the disease.,__________for covid-19 was ambiguous due to the significant lack of knowledge regarding the disease.
elbow bumps,noun,/ˈɛlˌboʊ bʌmps/,nghi thức cụng khuỷu tay,A new greeting style was born after the pandemic called“Elbow bump”.“.,A new greeting style was born after the pandemic called____________.“.
endemic,adjective,/ɛnˈdɛmɪk/,luôn tồn tại trong cộng đồng,Scientists claim that traces of covid-19 will always exist inendemiclevels in the community from hereon.,Scientists claim that traces of covid-19 will always exist in________levels in the community from hereon.
epidemic,"n, adj",/ˌɛpəˈdɛmɪk/,dịch,Anepidemicdisease,An_________disease
fever,noun,/ˈfivər/,cơn sốt,"After the fever, she wasdiagnosedwith the coronavirus.","After the fever, she was__________with the coronavirus."
hand sanitizer,noun,/hænd ˈsænɪˌtaɪzər/,nước rửa tay sát khuẩn,Hand sanitizerappears everywhere.,_______________appears everywhere.
hand washing,noun,/hænd ˈwɑː.ʃɪŋ/,rửa tay,People raise awareness ofhandwashingwith soap and rinsing their mouths regularly.,People raise awareness of___________with soap and rinsing their mouths regularly.
herd immunity,noun,/hɜrd ɪmˈjunət/,miễn dịch cộng đồng,Herd immunityincreased after the vaccination took place.,______________increased after the vaccination took place.
hospitalise,verb,/ˈhɑː.spɪ.t̬əl.aɪz//,nhập viện,The patient washospitalisedfor observation.,The patient was_____________for observation.
incubation period,noun,/ˌɪŋkjuˈbeɪʃən ˈpɪriəd/,thời gian ủ bệnh,Incubation periodfor the virus determined the duration of quarantine.,_________________for the virus determined the duration of quarantine.
index case,noun,/ˈɪndɛks keɪs/,trường hợp đầu tiên ghi nhận mắc bệnh,The firstindex caseis believed to be a woman selling seafood in Wuhan.,The first__________is believed to be a woman selling seafood in Wuhan.
infect,verb,/ɪnˈfɛkt/,nhiễm,Peopleinfectedwith the virus are immediately quarantined.,People_________with the virus are immediately quarantined.
lockdown,noun,/ˈlɑkˌdaʊn/,lệnh đóng cửa,"Lockdownmeans stopping all unnecessary activities, people are not allowed to leave their homes.","________means stopping all unnecessary activities, people are not allowed to leave their homes."
medical crisis,noun,/ˈmɛdəkəl ˈkraɪsəs/,khủng hoảng y tế,The whole world is in amedical crisisbecause of lack of timely care.,The whole world is in a______________because of lack of timely care.
